复合计算系统 复合计算
安全智能体系 安全智能体
组合自动测试向量生成 自动测试向量生成
双路径哈希有效 双路径哈希
学术监察机构 监察
决策预判 预判
通用处理器构建软件竞争力 软件竞争
语音通讯软件 语音通讯
杂凑函数标准 杂凑函数
模糊集合论 集合论
不确定图数据 不确定图
物理计算资源虚拟化 计算资源虚拟化
智能交通系统领域 智能交通系统
人类视觉认知机理 视觉认知机理
三维几何分析与建模 几何分析与建模
用户模式时间计数 模式时间
知识图谱搜索 图谱搜索
全要素群智协同机理 群智协同机理
视频生成算法生成 视频生成
移动软件运行平台 软件运行平台
聚类算元 算元
间谍软件植入用户 软件植入
电机系电讯 电机系
构建低资源条件 低资源条件
视频组播系统 视频组播
应用自动机器学习框架 机器学习框架
图文互检 互检
运作环境维护运行软件 维护运行
双曲空间嵌入 空间嵌入
城市热点区域信息 城市热点区域
空谱遥感图像质量改善 遥感图像质量改善
时间空间索引技术 空间索引技术
优化资源分配领域 优化资源分配
定义软件模板 定义软件
控制操作计算机 控制操作
证明雄心勃勃 雄心勃勃
操控机器人集群作战 机器人集群
查询处理语言 处理语言
广东肇庆顺利通过鉴定 广东肇庆
维持网络连通 维持网络
服务虚拟化技术 服务虚拟化
自动化互操作接口 操作接口
量子叠加态 量子叠加
闪联智能应用框架 智能应用框架
数据密集型大规模计算系统 数据密集型大规模计算
分布云交易 云交易
输出端口 输出端
数据备份和恢复 备份和恢复
开源软件制品 软件制品
用户体验设计师 用户体验设计
医讯网疗 医讯
对照线性离子阱 线性离子阱
角度构建空间关系语义计算模型 空间关系语义计算模型
机械电子部件智能传感器 智能传感器
交互式平台认证方法 交互式平台认证
情绪状态评测应用示例 状态评测
超级计算领域异常 领域异常
用户计算机网络 用户计算机
远程协议自主元素 协议自主元素
数据中心硬盘节能 硬盘节能
结构化程序设计语句 结构化程序设计
编译器生成代码 编译器生成
操作系统工程师 系统工程师
网络嵌入向量学习 网络嵌入向量
碎片化知识构建融合时序特征 碎片化知识构建
特权虚拟机检测客户虚拟机 特权虚拟机
移动服务整合 服务整合
生物识别技术 生物识别
键值存储比较 键值存储
人体运动几何重建算法 几何重建算法
万维网服务组织 服务组织
非平稳噪声语音增强 非平稳噪声
透视式显示器 式显示器
智能遥控器 遥控器
多核计算机系统 多核计算机
双向盲审机制审阅 双向盲审机制
企业协同激励机制 协同激励机制
刘慎权研究员 刘慎权
组合万维网服务 组合万维网
射频通信芯片 通信芯片
连续变量量子密集编码 量子密集编码
全程试验海上测量 海上测量
通用神经元计算 元计算
虚电路分组交换 虚电路
程序图内端 内端
鼻内镜微创手术增强现实导航系统 微创
交互式视频检索 交互式视频
自动计算机器 计算机器
非线性规划方程 非线性规划
制造企业霍尼韦尔 韦尔
量子计算设备规模 设备规模
美国创新环境恶化 创新环境恶化
容器监控预警平台 监控预警
记忆洪流 洪流
处理通量型 通量型
在线应用服务质量 应用服务质量
刻录机开发工作 刻录机
模态识别方法 模态识别
函数插值方法 函数插值
高维信号表示学习方法 高维信号
中文网页分类评测 中文网页分类
大规模知识图谱技术 知识图谱技术
研究论文数量比 数量比
对模型逼近现实 模型逼近
医疗信息化进程 信息化进程
支持向量机 向量机
人工智能赋能边缘计算技术 边缘计算技术
高速铁路智能安全检测方法 铁路
中文字体生成 字体生成
感知流指令集 感知流
词条释义 词条
营销计算咨询服务 营销计算
标签查询管理规则区分处理数据包 处理数据包
网络用户参与度 用户参与度
基于统计机器学习算法 统计机器学习算法
环境几何结构特性 环境几何结构
信息深度挖掘 深度挖掘
估计反射率图 估计反射率
老年人生活智能辅助领域 老年人生活智能辅助
连通性剪枝配合 连通性剪枝
计算机学科研究水平 计算机学科研究
海量空间信息处理 空间信息处理
可证明安全 证明安全
虚拟机节能技术 虚拟机节能
处理海量媒体数据 海量媒体数据
阿贡小组证明方程 阿贡小组
美国卡耐基梅隆大学软件工程研究所 软件工程研究所
国家知识基础设施工程 国家知识基础设施
计算机软件新技术国家重点实验室 计算机软件新
用户身份信息 身份信息
空间模式预测 模式预测
布奇自动机算法 布奇自动机
大数据驱动架构试图 大数据驱动架构
内存数据拷贝 数据拷贝
几何重建法 重建法
缩微芯片实验室 芯片实验
中国计算机学会秘书长 中国计算机学会秘书
大规模视觉对象数据集 对象数据集
数据库领域学术界 领域学术界
生物信息学领域 信息学领域
合作中心联合 中心联合
后量子密码学领域 密码学领域
视觉处理器检测 视觉处理器
隐含语义的自动索引 隐含语义
鲁棒可解释人工智能 鲁棒可解释
美国国防部高级研究项目局 美国国防部高级
伪随机数生成 随机数生成
线性时态逻辑 时态逻辑
语义万维网领域 万维网领域
性能测试结果表明 测试结果表明
虚拟机热备份 虚拟机热
量子自动机描述 量子自动机
量子计算数论量子计算数论 量子计算数论
开放神经引擎 神经引擎
讲习时间 讲习
美国麻省理工学院媒体实验室 麻省理工学院媒体实验室
量产良品率 良品
触发频率编码 触发频率
域间路由系统 路由系统
仿真节点机 节点机
预测生物领域研究趋势 领域研究趋势
数据黑市 黑市
用户配置应用 用户配置
交网络服务商 网络服务商
软件解析研究处理 软件解析研究
远程服务器 远程服务
生物学文献挖掘 生物学文献
应用智能服务 应用智能
网络计算模式分析 网络计算模式
三维空间显示 空间显示
群体情感交互动态 交互动态
数据要素市场 数据要素
高级服务模式 高级服务
理事会选举条例修订版 修订版
金融业风险控制 金融业
差异化服务新范式 差异化服务
栅格化网络信息体系 网络信息体系
美国普渡大学 普渡大学
生命科学研究院计算生物学研究所研究员 计算生物学
空投鱼雷入水 鱼雷
关键信息基础设施安全保护 关键信息基础设施
自主行为能力 自主行为
多虚拟机服务器 虚拟机服务器
美国加州洛杉矶市 洛杉矶市
计算输出向量 计算输出
上下文 下文
开源大数据流式计算系统 大数据流式计算系统
民主监督机制 监督机制
云终态可信执行环境构建 终态
存储视频文件数量 存储视频
数字视频信号编码 数字视频信号
AI计算框架介于模型算法 AI计算框架
海量多媒体并行检索 并行检索
嵌入式软件堆栈 软件堆栈
超导集成电路速度 电路速度
建立机制类脑 建立机制
简论人工智能 简论
地理位置信息数据集 地理位置信息数据
行业用户屏蔽分析技术 行业用户
多学科方向融合 多学科方向
硬编码密码 硬编码
设计流程可信 流程可信
计算机输入代码 计算机输入
世界质感认知研究领域 质感认知研究
网格构建管理 网格构建
混合内存体系结构 内存体系
实数向量表示 实数向量
掌纹图像预处理算法 掌纹图像预处理
韩国信息安全 韩国信息
实时统计量化 统计量
统一文件视图 文件视图
原始数据元组结构简单 数据元组
公网资源 公网
数据度量程序员 度量程序
软件产业结构模式 软件产业结构
个性化虚拟用户环境 虚拟用户
虚拟化数据中心网络 虚拟化数据
数字视频编码技术 数字视频编码
安全数据库管理系统 安全数据库
对象检测领域 对象检测
密码保险库 保险库
局部路径规划 路径规划
线性判别分析定义 线性判别分析
海量多媒体数据库 海量多媒体数据
输入图像域 图像域
英文写作基础 英文写作
个性化系统软件 个性化系统
测量读取谐振腔 读取谐振腔
社会关系类型识别 类型识别
数据管理解决方案 管理解决方案
软件计算实体协同 软件计算实体
图像生成文字 生成文字
时移电视机制 电视机
影响战争形态演变 影响战争
构造函数故障 构造函数
感知数据识别 数据识别
中文信息技术专委会 中文信息技术
社会交互高效智能支持策略 社会交互高效
混合现实立体显示技术 混合现实立体显示
苹果移动操作系统取证 苹果移动操作系统
概率范围查询 范围查询
异构链路信息综合接入技术 异构链路信息综合
白盒静态测试 静态测试
多出元元计 元元计
动物集体行进 集体行进
大数据发展趋势预测 大数据发展趋势
协同入侵检测系统 协同入侵检测
监事会成员 监事会
局部交互方式 局部交互
分布式k近邻查询算法 分布式k近邻查询
用户亲密度度量 用户亲密度
云服务实体 服务实体
分子生物学角度建模 分子生物学角度
学者群体中英文发文 群体中英文发文
数字音频水印性能评价标准 数字音频水印性能
现代图形加速器 图形加速器
爱尔兰国家博物馆 爱尔兰
用户隐私安全保护 用户隐私安全
新时序操作符 时序操作符
软件漏洞并行挖掘 并行挖掘
高效低耗处理 高效低耗
语法模块设计 模块设计
上下文敏感页面映射 页面映射
计算预测准确度 预测准确度
处理软件系统可信 软件系统可信
知识图谱数据管理方法 知识图谱数据管理
片上网络路由算法 路由算法
知识形式化 知识形式
I体系结构 I体系
计算机技术工程硕士研究生 计算机技术工程
蚁群算法并行化 算法并行化
程序正确性验证 正确性验证
稀疏化方法多 稀疏化方法
注入新内涵 注入新
湖南省健康医疗云 健康医疗云
安全软件设计模型 软件设计模型
有机融合定量 有机融合
视杯视盘 视盘
晶体管漏电流 漏电流
城市运输系统安全 运输系统安全
华中师范大学搭建 华中师范大学
科学数据网格 数据网格
大数据区块链技术 大数据区块链
静态结构模型 静态结构
传值不确定性分析方法 传值不确定性分析
离散型交互媒体 离散型
传染病疫情监测与预警技术采用移动通信基站 传染病疫情监测与预警
处理器芯片性能 芯片性能
关键字竞价计算实验基础框架 关键字竞价计算
机器人导航系统 机器人导航
安全深度耦合 深度耦合
混合现实立体显示技术 立体显示技术
联合作战虚拟作战环境 虚拟作战环境
编译器数据划分 数据划分
时间步长自适应 步长自适应
电力系统状态估计算法 电力系统状态估计
多线程优化领域 优化领域
智能电网系统 智能电网
超大规模网络环境 大规模网络环境
防范系统性风险 系统性风险
预测网络服务性能 网络服务性能
方法组合应用 组合应用
制造协同层 协同层
数据拆分模块 数据拆分
本体论研讨会 本体论
智能运维能力作出贡献 智能运维能力
领域专用加速器 专用加速器
控制标签寄存器 控制标签
细粒度的访问控制机制 细粒度的访问控制
硬件跟踪器 硬件跟踪
航程关系 航程
多有效解决方案 有效解决方案
心电监测数据 心电监测
描述图像视觉显著特征 描述图像
GPU通用计算硬件 通用计算硬件
预测未来人类生存 预测未来
计算机博物馆保存 计算机博物馆
分组约束机制 分组约束
自主低功耗设计 低功耗设计
认知网络框架 认知网络
结构性数据结构 结构性数据
无线通信器件 通信器件
动态属性网络表征学习 动态属性网络
通用语言表示 通用语言
虚拟机部署配置 虚拟机部署
生活消费服务 生活消费
知识问答型对话系统 型对话系统
建筑数字化技术 建筑数字化
高性能通用微处理器领域 高性能通用微处理器
定义量子隐形传态 量子隐形传态
三维感知引导智能体 引导智能体
时移电视机制 时移电视
安全信息交换机制 安全信息
网络数据表示学习 数据表示学习
在线业务运行 业务运行
口腔气味特征 口腔气味
理解计算机视觉 理解计算机
脚本编程语言 脚本编程
多端网络拓扑关系模型 网络拓扑关系
数据隐私度越 隐私度越
原子系综型量子重复器 原子系综
调制量子隧穿效应 量子隧穿效应
高效修复算子 修复算子
量子马尔可夫链 量子马尔可夫
安全网络兼容内生 兼容内生
太平洋海域 太平洋
交互式可视化系统 交互式可视化
双向加速器协同设计 加速器协同设计
软件无线电设备 软件无线电
关系数据库模式信息 关系数据库模式
大规模城市场景建模 城市场景建模
移动终端服务器 终端服务器
专用终端防护 专用终端
城市大脑智能监控 智能监控
集中处理大规模数据 处理大规模数据
联邦数据库系统 联邦数据库
自动计算机 自动计算
知识专题小组 专题小组
集群重复数据删除系统 重复数据删除系统
移动社交网络营销 社交网络营销
网络地址空间隔离 地址空间隔离
虚拟力算法参数设置 虚拟力算法
科研学术机构 科研学术
液晶调制器调整入射光 液晶调制器
存储计算分离架构 存储计算分离
交互协商对象 交互协商
蛋白质序列模块数据库 模块数据库
异构型分布式计算机系统 分布式计算机系统
通讯基站协同 讯基站协同
多尺度视觉探勘 视觉探勘
模仿神经系统 仿神经
网络轨线 轨线
驱动程序故障 程序故障
理解多尺度用户界面 多尺度用户界面
多尺度分子可视化 分子可视化
资源挖掘有点 资源挖掘
生命科学技术研究院 生命科学技术
中国社团管理 中国社团
非线性弹性模型模拟 非线性弹性模型
跟踪多核并行程序 跟踪多
学术生态维护学术 维护学术
数据存储规模有限 存储规模
个性化定制服务 定制服务
运行高性能计图算 计图算
概率查询处理 概率查询
周期谱特征参数 周期谱
社会事件演化规律分析 演化规律分析
英国女王奖 英国女王
云计算管理系统 云计算管理
关系型数据库管理系统管理 关系型数据库管理系统
计算移动目标 计算移动
管理学术空间 学术空间
领域服务聚合工程 领域服务
开放缓存数据 开放缓存
观点分析评测 分析评测
用户公钥信息 公钥信息
解决之道中国半导体产业 中国半导体产业
特征输入模型 特征输入
谓词关联规则挖掘 规则挖掘
高光谱图像本征分解模型 高光谱图像本征分解
高性能路由查找算法 高性能路由查找
软件定义网络可编程 网络可编程
身份隐私攻击 隐私攻击
脑图谱绘制分析工具 脑图谱绘制
大遗址数字化保护 大遗址数字化
交叉学科数据分析技术 数据分析技术
延迟容忍算法设计 延迟容忍算法
移动对象历史轨迹查询处理 历史轨迹查询
多热词 热词
感知节点处理 感知节点
开源大数据技术生态环境 开源大数据技术
人工智能学习设计意图 智能学习设计意图
中文语言文字 语言文字
行为图描述构成系统 行为图
离散控制转变成统一业务控制 离散控制
位置预测器 预测器
天线对位置 天线对
微软亚洲研究院主管 研究院主管
测量量子比特电路 量子比特电路
数据自动增强 自动增强
医疗健康服务系统 健康服务系统
多数据库引擎启动公司 多数据库
深度神经网络处理器架构演进 深度神经网络处理器
形成性评价机制 形成性评价
共振峰频率特征比较有效 特征比较有效
晶圆级 晶圆
标准集装箱 装箱
攻击网络数据包 网络数据包
量子密钥分配系统 分配系统
用户监控模块 监控模块
美国伊利诺伊大学香槟 伊利诺伊大学香槟
五线谱图 五线谱
路径检测算法 路径检测
维护离散型交互媒体 离散型交互媒体
计算机科学创感 创感
高性能机器翻译系统 高性能机器
交易记录数据 交易记录
自治化服务质量框架系统结构 自治化服务质量框架系统
发射器信号 发射器
有效跟踪用户 有效跟踪
预订飞机票 飞机
海量语义数据推理 海量语义数据
大数据重复数据删除 数据重复
云端多引擎检测 多引擎检测
缩放比例定律 比例定律
型拥塞控制机制 型拥塞控制
抽象终端资源 终端资源
人工智能领域科学主题演化 科学主题演化
数据处理器结构 数据处理器
程序设计基础实验课 程序设计基础
阿姆达尔定律 阿姆达尔
视网膜动脉硬化特征 视网膜动脉硬化
用户群智协同编辑行为 群智协同编辑行为
企业创新主体作用 企业创新主体
中国计算机专业研究生 中国计算机专业
数据共享交易平台 数据共享交易
权威服务器IP地址 权威服务器
高速缓存竞争 缓存竞争
异构大规模对等网络系统 异构大规模
邮购处理 邮购
通用领域用户应用需求 用户应用需求
应用系统在线运行 在线运行
大规模异构虚拟化系统测评框架 测评框架
量子状态参数估计 量子状态
语义万维网服务组合工具 服务组合工具
视觉功能预测 功能预测
北京大学分词语料 分词语料
结构化描述数据 结构化描述
人物传记资料库 资料库
三维网格模型分割 三维网格模型
资源存储 源存储
隐马尔可夫模型参数化合成系统流程 合成系统
无线射频识别传感器 射频识别传感器
工业以太网设备 工业以太网
参数预测模数据 参数预测
理解材料识别结构 材料识别
智慧生活服务应用 智慧生活服务
网络存储协议标准 协议标准
人工智能方向发展演化 发展演化
最小能耗数据汇聚树 数据汇聚树
智能机市场竞争 智能机市场
软件中间件模型 中间件模型
力触觉生成方法 力触觉生成
中国国家网格服务环境 网格服务环境
自动修复开源软件缺陷管理 开源软件缺陷管理
移动通信大数据分析 通信大数据
运作环境维护运行软件 运行软件
交通规划部门 交通规划
计算机程序模拟法律 程序模拟
城市数据获取城市计算框架 城市数据获取
泄露用户隐私信息 用户隐私信息
香肠神经元网络 香肠神经元
中英文双语知识图谱 双语知识图谱
分布式虚拟机管理器 分布式虚拟机
软件定义网络高级编程语言 高级编程语言
资源匮乏语言神经机器翻译模型优化 资源匮乏语言神经机器翻译模型
无线传感器网络研究领域 网络研究领域
姿态参数空间 姿态参数
计算激光射线 激光射线
工业级图机器学习系统 图机器学习
时延参数分析 时延参数
标准无线通信器件 无线通信器件
华中科技大学计算机学院院长 华中科技大学计算机学院
自优化能力 优化能力
人机物融合群智计算定义 人机物融合群智计算
网格作业服务 作业服务
曼哈顿世界环境 世界环境
中国知识产权制度 知识产权制度
纳米诊室 诊室
分布式计算服务模型 计算服务模型
容器平台开发 容器平台
多模态情感识别模型 情感识别模型
个性化定单制造 定单制造
网络功能虚拟化融合框架 虚拟化融合
用户数字轨迹 用户数字
专用器件设计 专用器
确定性量子超密编码 量子超密编码
个性化在线编程学习 在线编程学习
张效祥老先生 老先生
自收缩生成器 收缩生成器
非结构化对等计算系统 结构化对等计算系统
神经场景流场 场景流
异构场效应晶体管 场效应晶体管
图卷积神经网络模型 图卷积神经网络
三维跟踪定位技术 跟踪定位技术
未来网络方向 网络方向
社区问答系统系统演化 社区问答系统系统
现代信息社会基础设施 现代信息社会
度量Skyline查询 Skyline查询
系统数据容量 数据容量
节约电能 电能
输入图像域 输入图像
造物新 造物
多项发明专利 项发明
人类软件工程师 软件工程师
网络安全等级保护制度 等级保护制度
信息通信技术领域专利申请 信息通信技术领域
查询词聚类和分类 聚类和分类
向量计算部件 向量计算
视频解码错误扩散 错误扩散
硬盘记录设备 记录设备
大数据学科 数据学科
计算机仿真学科 仿真学科
分布式持久化存储 持久化存储
现代密码安全建模 安全建模
电子商务服务企业 电子商务服务
保护应用程序数据 应用程序数据
基于语义综合集成 语义综合集成
多网络集成模型 多网络集成
特定领域解决方案 领域解决方案
从云服务端 云服务端
能为文档自动提取 文档自动
神经网络语言模型 网络语言模型
视频关键帧提取 关键帧提取
密码算法分析 算法分析
拓展感知维度 拓展感知
允许多台虚拟机 多台虚拟机
图像局部特征 图像局部
图卷积神经网络模型 卷积神经网络模型
神经编码器 神经编码
量子密钥分配 密钥分配
汽车电子领域 电子领域
图推理机制 图推理
中国计算机学会青年计算机科技 中国计算机学会青年
信息无障碍身体机能差异 身体机能
跟踪多核并行程序 多核并行程序
汇总大规模电子病历数据 大规模电子病历数据
信息处理应用系统 信息处理应用
多线程优化领域 多线程优化
双向盲审机制 盲审机制
量子存储性能 存储性能
影响数据产业 数据产业
角色建模技术 角色建模
计算分离架构 分离架构
基本语义处理平台 语义处理平台
挖掘互联网智能 互联网智能
高效资源管理机制 高效资源管理
计算存储资源协同管理 计算存储资源
去器密码分析 去器
局部路径规划约束 局部路径规划
用户交互界面设计 交互界面设计
语言知识云 知识云
生命生死存亡 生死存亡
无线传感器网络拓扑图 网络拓扑图
域间路由表如图 表如图
处理幂律图 幂律图
数字化视音频控制技术 数字化视音频
用户移动速度可高达 用户移动速度
领域阅读理解问答 阅读理解问答
检测程序缓冲区溢出漏洞 缓冲区溢出漏洞
有机柔性电子器件 柔性电子器件
输入密钥解密数据分区 密钥解密
预虚拟化技术 预虚拟化
样本点原型聚类算法 样本点原型
故障注入器是 故障注入器
先验概率分布函数形式 先验概率
网络分层架构 网络分层
用户隐私条款 隐私条款
智能汽车控制系统 智能汽车控制
跨媒体因果推理 媒体因果推理
脉冲神经元建模 神经元建模
查询网格资源信息 网格资源信息
并行存储访问模式 并行存储
虚拟机器人 虚拟机器
数据布局优化调整 数据布局优化
指引诗歌生成器生成 诗歌生成器生成
二氧化碳检测器 二氧化碳
计算机应用能力提升 能力提升
中国生物多样性信息系统体系 信息系统体系
水印能量攻击 水印能量
多客户性质 多客户
线性竞拍 竞拍
中国科学院战略高技术十二五规划研讨会 战略高技术
语言信息处理模型 信息处理模型
多媒体调度访问模式 调度访问模式
谈话时延调高 谈话时延
开发者量变 量变
许可系统实现去中心化 许可系统
对等网络流媒体直播服务 流媒体直播服务
精准感知用户场景 精准感知
新版中国国家网格软件系统 中国国家网格软件
重视学术共同体枢纽作用 枢纽作用
大规模社会网络挖掘 社会网络挖掘
补充基础机制 基础机制
上半叶科学技术 上半叶
电子元器件增速 增速
表局部服务 局部服务
视频点播系统比较 视频点播系统
挖掘智能信息 挖掘智能
用户实验结果表明 实验结果表明
运算性能优化神经网络 优化神经网络
影响软件生命力 生命力
用户市场规模 用户市场
百度集团副总裁 百度集团
特征编码存储 编码存储
博物馆文化遗产数据应用 文化遗产数据应用
数字资产管理系统实施 数字资产管理系统
中国语言技术研究 语言技术研究
分类器网络性能 分类器网络
技术改进网络存储设备I 改进网络存储设备
指出铱星通信系统 铱星通信
车位引导信息 引导信息
信息传感设备 信息传感
谢尔久科夫 谢尔久
量子密码产业化分析 产业化分析
吐露半点细节 半点
文件加密流程 加密流程
处理缺失值 缺失值
匈牙利算法首次 匈牙利算法
私钥密码算法有机 私钥密码算法
中国台湾大学 台湾大学
分布式密码破解测试密码强度 密码强度
博物馆文化遗产数据应用 博物馆文化遗产数据
一维时间序列图 序列图
缓存能力开放 缓存能力
虚拟环境交互式体验系统 虚拟环境交互
高效判定算法 高效判定
专业认证试点 认证试点
调用孔斯曲面构造算法 曲面构造算法
生成媒体对象网络 生成媒体
城市空间大数据搭建 城市空间大数据
智能演进能力 智能演进
漏洞模型种类 模型种类
高效准确量化 高效准确
硫属化物材料 硫属化物
单边频谱拍卖 单边频谱
回型关系模型 关系模型
份额估计值 估计值
无线传感器节点器件 无线传感器节点
交叉点缓存交换机系统设计 交叉点缓存交换机
江南计算技术研究所 江南计算技术
城市暴雨积水 暴雨积水
超级计算机性能分析 超级计算机性能
子图模式匹配计算 子图模式匹配
人耳非线性频率分辨率 频率分辨率
测试工具自动化程度 自动化程度
移动自组网路由协议 移动自组网路由
政府主管机构 主管机构
中国计算机学会秘书长杜子德致词 中国计算机学会秘书长杜子德
概率资源空间模型 概率资源空间
客户端比特率自适应 比特率自适应
线上服务会员 线上服务
虚拟集群容错子系统架构 虚拟集群容错
项数排名 项数
汉字字形描述模型 汉字字形描述
安装用户管理系统模块 用户管理系统
时间戳服务器 时间戳服务
多感觉融合增强 多感觉融合
渲染引擎生成 渲染引擎
互联协作环境 互联协作
大规模语义数据处理 语义数据处理
预印本网站 预印本
水稻全基因组关联分析 全基因组关联分析
情感标注数据缺乏 情感标注
通用知识图谱 通用知识
移动对象位置表示模型 位置表示模型
门电路计算 电路计算
人脸模型生成 人脸模型
宽带移动通信技术 宽带移动通信
空闲频谱片段 频谱片段
DNN模型参数量 DNN模型参数
次碰撞数值模拟 次碰撞
分布式数据管理理论与技术 分布式数据管理
进程表中会 表中会
姿态控制能力 姿态控制
强化排序学习模型 强化排序学习
软件服务化趋势 软件服务化
环境几何结构特性 几何结构特性
移动社交网络系统 社交网络系统
世界赖以生存 赖以生存
大服务新概念 服务新概念
鉴于临时中间数据 临时中间数据
三项指标性能 指标性能
海量多媒体数据库高效查询处理 高效查询
状态时段公理 状态时段
隐私保护场合计算环境 场合计算
编译协同设计软件算法 编译协同设计
加拿大黑手党 黑手党
硅基半导体量子计算 半导体量子计算
体表气味信号特征 体表气味信号
分层防御系统 分层防御
有机用户界面领域 有机用户界面
超低功耗特性 低功耗特性
大数据分析服务 数据分析服务
滤波增强处理 滤波增强
计算机科学界 科学界
异构众核 众核
信息输入效率最大化 输入效率
工业互联网操作系统 互联网操作系统
虚拟样机高层建模优化技术 虚拟样机高层建模
可编程能力 编程能力
物联网服务领域定性知识 定性知识
定理证明器 证明器
精细加工通路 精细加工
类脑计算加速器设计 类脑计算加速器
传播与社会影响 社会影响
时间检验奖 时间检验
国产系统软件产品相继 国产系统
计算机领域学术评价机制 学术评价机制
测量性能影响 量性
网联世界计算 网联世界
跨媒体海量信息检索 跨媒体海量信息
广域网虚拟平台项目 广域网虚拟平台
跨学科研究方向 学科研究方向
模型允许低维流形空间 维流形
奉献给社会 奉献给
集成控制系统领域 集成控制系统
安全运营大数据挖掘 安全运营大数据
奖励制度分析 奖励制度
数据服务管理模块配合 数据服务管理模块
重复计算所 重复计算
分组加密算法 分组加密
计算经济学领域 计算经济学
位置感知图像捕获 图像捕获
资源描述框架文档搜索 资源描述框架文档
权威评论员 评论员
共享存储池里 池里
移动互联环境 互联环境
消除共享资源争用 资源争用
自适应感知域学习 自适应感知域
多智能体规划建模 多智能体规划
数据噪音 噪音
量子计算攻击算法 量子计算攻击
高效数据发布系统 数据发布系统
场景深度信息采集 场景深度
广告主竞买 竞买
网络不良信息识别 不良信息识别
描述可编程交换机 可编程交换机
数据获取深层模型 深层模型
汽车电子子系统 电子子系统
生物体名字识别 名字识别
集成异构部件 异构部件
多媒体操作系统 多媒体操作
中国即时通讯市场竞争 即时通讯市场竞争
生物医学网络分析领域应用语义万维网 网络分析领域
微软亚洲研究院院长洪小文 微软亚洲研究院院长
复合服务解决方案 服务解决方案
微码读取 微码
动态知识生态系统 动态知识
新动议 动议
量子计算路线图 算路
充分反映数据内涵 反映数据
据此生成 据此
扫描链技术本质 扫描链
复旦大学管理学院院长陆雄文 理学院院长
美国弗吉尼亚理工学院 弗吉尼亚理工学院
主动安全控制能力 安全控制能力
形式相对自由 相对自由
磁存储器器件特性 器件特性
缺陷修复操作 修复操作
超大规模预训练模型 大规模预训练模型
权威评论员 权威评论
交通流量传感器 流量传感器
测量用户选择 测量用户
数据挖掘引擎 挖掘引擎
文物知识数据 知识数据
语言层面 语言层
分布式认证算法 认证算法
感知网模型追溯 感知网模型
新用户冷启动 用户冷启动
视听觉增强大鼠机器人 视听觉增强
参量自动监测 参量
数据处理环境 处理环境
世界软件产业现状及趋势分析 世界软件产业现状
在线内存预源测 预源测
社交网络结构信息融合 网络结构信息
原型芯片构建 芯片构建
计算系统可用性评测 系统可用性评测
人工智能知识表示 人工智能知识
试验示范课题 试验示范
统一高层次抽象 高层次抽象
虚拟现实三维游戏 三维游戏
物理数据分布 物理数据
应用体验优先 体验优先
社会科学引文索引 科学引文索引
固态存储介质扩展动态随机存储器 动态随机存储器
移动边缘计算行业规范工作组 移动边缘计算
应用特性动态构造虚拟计算环境 虚拟计算环境
外存数据预缓存 预缓存
成像挂网 挂网
城市居民家庭 居民家庭
麦克风电路 麦克风
手部动作运动模型 运动模型
搭建神经网络算法系统 算法系统
混合式数字化学习与创新平台 数字化学习与创新
特定条件制约 条件制约
数值型特性 数值型
人工智能性能算力排行榜首次 人工智能性能
上下文感知多媒体推荐模型与算法 模型与算法
自然语言文本转化 自然语言文本
离散型交互媒体 型交互媒体
网格软件课题组 课题组
指令通知类脑加速器数据 类脑加速器
应用Petri网模型分析实际系统 应用Petri网
新闻出版机构 新闻出版
端应用运行环境 应用运行环境
现代文件系统 代文
数据上下文质量 数据上下文
视频图像场景融合生成 视频图像场景
计算机系统研究生 计算机系统研究
作战系统仿真 作战系统
下游微调 下游
通用运算部件交互 运算部件
应用程序数据 程序数据
AI算力集成通用算力 AI算力
图数据结构对图加速器 图数据结构
分类评价机制 分类评价
移动应用商店收集移动应用供用户下载 收集移动
索引器扫描 索引器
计算结果可视化 结果可视化
应用结构信息解码实质结构 结构信息解码实质结构
调整流程 调整流
内存泄露探测 内存泄露
世界电子信息产品市场规模 电子信息产品市场规模
中国大数据发展趋势预测 大数据发展趋势预测
渲染引擎生成 引擎生成
精确计算大规模IP流 精确计算
通用数据保护条例 通用数据保护
中文学术平台 学术平台
人类社会成员 社会成员
放宽眼界 放宽
退耕还林工程信息应用服务 信息应用服务
大数据专家委员会预测深度学习 大数据专家委员会
对等网络流媒体应用 流媒体应用
可信PC机滞后 可信PC机
网络地址受限 地址受限
药物先导化合物 先导化合物
超级计算机性能 计算机性能
产业链结构 链结构
全监督学习模式 全监督学习
信息安全科学技术重点发展方向 重点发展方向
无线网络通信带宽 网络通信带宽
服务价值发现 价值发现
虚拟机访问控制机制 虚拟机访问控制
非结构化对等网络 结构化对等网络
工具支持体系结构评审 工具支持
符号记录表达信息 表达信息
多媒体交互动力学建模 多媒体交互
构件组合布局 构件组合
寄生存储潜力 寄生存储
业务流程定义语言 业务流程定义
机器人运动学习领域 机器人运动学习
动态数据仓库应用 动态数据仓库
公开密钥密码体制 密钥密码
语义类抽取流程 语义类抽取
默克尔总理 默克尔
概率表达形式 概率表达
基线算法数量 基线
雷曼软件演化定律 软件演化定律
硬件接口监测 硬件接口
人类全基因组重测序 全基因组重测序
驾驶员意图理解 驾驶员意图
群智融合视觉语义理解 视觉语义理解
特定群体行为建模 特定群体
奖等奖项 等奖项
可视设备构建 可视设备
