识别领域 语音识别领域
社会推荐 社会推荐方向
图数据模型 不确定图数据模型
带宽 带宽竞争
实例 语义万维网门户实例
分子生物 分子生物计算
数据结构 数据结构分析
实体 实体学习
矢量 语义矢量组织管理
注意欧美 注意
体系结构 命名数据网体系结构
信息服务 数字化信息服务
动态调整数据修复 数据
神经网络数据流 神经网络
供应商 软件供应商
数据存储 数据存储系统
相机图像信号处理 图像信号处理
华中科技大学 可信华中科技大学
过程度量 度量
量子马尔可夫链 量子马尔可夫
云 基础设施云
多媒体 多媒体可视化
映射 精准映射
概率统计学科 概率
存储系统 存储系统功耗
几组 多调试几组参数
大学程序设计新思维 大学程序设计
密码 对称密码
手语 手语语言
模块 情绪表达模块
存储系统 结构化分布式存储系统
多元化 自动化多元化
模块 模块化设计
业务 业务层面用户
处理器芯片 众核处理器芯片
服务 对象交易服务
视觉 视觉单词模式
领域 对地观测领域
物理 客观物理世界
相匹配 新工科相匹配
数据 十分重视数据
用户观察视点 观察
人机协同平行测试 人机协同
度量 模型相似性度量方法
地址信息 地址信息文件
称号 产业应用推动者
能力 自治管理能力
多元组排序张量分解 排序
工作组 评测工作组
基础 基础器件
高吞吐 高吞吐率
资源 存储资源池等
能力 动态重配置能力
大规模并行程序 大规模并行程序通信记录
异常点检测算法 测算
大学 加州大学伯克利分校电气工程
上下文 上下文感知嵌入
关系 离线系统预处理关系数据
有界 有界Petri网
真实场景 静态真实场景画面
并发 并发原语
移动 电子移动
技术应用 软件定义无线电技术应用
轻松 组织轻松构建集成
拟化 跨物理节点虚拟化架构
片上网络路由算法 片上网络
心理 社群心理疾病侦测
国家 综合性国家科学中心城市
充分 充分显示
审稿 审稿准则
众核处理器 众核处理器能效比
交互设备 语音交互设备
低功耗 低功耗基础
通信 信威通信技术股份有限公司联合
网络架构 空间网络架构
方法论 方法论融合
图论 图论角度
模型 认知架构模型
管理系统 虚拟样机工程项目管理系统
地理信息 地理信息分析
电路 电路实现超级计算机
图论 图论代数
大数据领域 大数据
职业 会员规划职业
泄露信息 物理泄露信息恢复神经网络参数
远程 操作远程I
基因大数据 基因大数据挖掘
现代 现代科学前沿
模型 调用模型
网数据 互联网数据长期
虚拟样机工程标准体系 复杂产品虚拟样机工程标准体系
多核 多核协同计算
服务器 远程服务器
凸优化算法 非凸优化算法
流程 图像处理流程
关系 数据传递关系比较复杂
不同维度健康数据 数据
学术研究 跟踪学术研究前沿热点问题
上下文 上下文信
强化排序学习模型 强化排序学习
几何 几何连续
汉语 汉语语法树库
方向 相对重要性
技术能力 技术能力定义
移动自组网 移动自组网接入互联网
生物信息 生物信息芯片
数据 系统数据
资源信息 软硬件资源信息
产业 产业新
超大规模媒体存储系统 超大规模媒体存储系统结构
秘书长 负责秘书长
影响 影响水印
迁移知识 角度迁移知识
质量保障 服务质量保障能力
协议 数据驱动协议
行程 并行程序性能
用户隐私保护 鉴于用户隐私保护
优化技术 优化技术融合
测量 视网膜结构与功能测量
大规模信息 大规模信息系统
重复 重复推荐
有效 有效控制系统
称号 算法设计者
用户需求 用户需求高效
通信 通信带宽资源
语言 扩展语言
动态数据失效恢复机制 数据失效
硬件 专用加速硬件
大数据商业利用政策 大数据
开源区块链 区块链
三维物体 感知三维物体
评测数据集 视频评测数据集
大学 浙江工商大学
边缘 边缘服务供应商
表 离散表达
高效 高效统一管理
用户 移动设备用户
异构硬件环境 硬件环境
实验框架 计算实验框架
教育 系统能力培养课程体系
数据权 数据权利
通信 通信速度
卷积神经网络 卷积神经网络加速器
处理结构 并行处理结构
信息抽取 智能信息抽取
方向 阶段性
证明 用户证明
信息 描述权利信息
术语译法标准 标准
经济 计算广告经济
测量 测量流量
群体计算系统 中文群体计算系统
进程 改革进程
资源 硬件资源搭建
编程框架 CUDA编程框架
定律 摩尔定律赋予芯片
式体系结构 开放式体系结构
文档 在线文档
跨学科交叉 跨学科交叉融合
理解人类 机器理解人类活动
订单 订单成交
市场 市场开发技术
科学技术模拟虚拟 科学技术
数据 数据转发模式
计算范式 标准计算范式影响
频率分辨率 人耳非线性频率分辨率
转移 转移克隆
系统状态 系统状态感知系统
迁移 链式迁移
资源 分布网格数据资源统一
深度学习 开源深度学习系统
噪声 高噪声
电视 电视节目个性化服务
功能服务 软件功能服务
车辆共享服务提供平台 车辆共享服务
性质 递减性质
设备层 感知设备层
电脑动画电影 电影
文献学习 文献学习笔记
经费资助机构 政府经费资助机构
计算能力 大型设备计算能力
量子广域网 广域网
数字化 人类数字化社会
图形 图形化协同设计系统
德程 雷诺德程
自主控制结构 应用层自主控制结构
语义表达空间 语义
自然语言文本 自然语言文本转化
构建高性能计算云 高性能计算
终端应用构件模型 终端应用
自主网络特征 模型自主网络特征
输出数据 输出数据流
物体 大规模物体检测
中国计算机 中国计算机产业
张量 深度学习张量芯片
高效能计算机 高效能计算机系统虚拟化
实体 实体数据设施
工作组 领域工作组
输出模式 图像输出模式
异构计算 大规模并行异构计算平台虚拟化
大规模知识图谱 扩展大规模知识图谱
传承创新创业者 称号
编译器 编译器发掘线程
科研信息化基础设施 科研信息化基础设施建设
元数据 元数据服务
复杂社会 复杂社会网络环境
触觉辅助设备研究者 称号
体系结构设计 网络体系结构设计原则
里程计 四足机器人里程计
教育 教学科研
教育 软件工程课程教学成效
噪音 数据噪音
技术支撑 硬件技术支撑
通常 计算应用通常
系统调用 系统调用分析技术
基站 电信基站
认证密钥 上行链路消息认证密钥
驾驶 驾驶情景
众包 群体众包方向
基因数据平台 数据
体系结构 WSN网络体系结构
语义 语义注解
容错计算 容错计算领域
规模数据 大规模数据资源积累
人工智能赋能边缘计算技术 边缘计算技术
学科 人因工程学
无线射频 无线射频领域
云原生 云原生计算
生成器 测试生成器
书画家 称号
系统功能体系框架 体系框架
心理学 心理学家契克森米哈
预测未来人类生存 预测未来
测试 中国电路测试技术研究
学派 新经济增长理论学派
语义 语义索引
量子 电控量子点
机构 认证机构
布线 布线成本
企业 企业自主研发
允许作者 称号
组织 组织国家安全审查
驾驶类型 类型
消费 电子产品消费
安全 数据安全性信息
静态 静态修改
时空 挖掘时空轨迹
非均匀 非均匀流
层次化原理 存储系统层次化原理
存储地址空间 存储地址
军事 军事强国
数据保护技术研究 数据
精准农业 精准农业监测系统
学习 学习复杂知识
海空自然环境仿真 仿真
方向 认知相似性
轨迹搜索 在线轨迹搜索组件
产业 产业发展趋势
生命科学技术研究院 生命科学技术
物体表示 动态物体表示
量子点体系 半导体量子点体系
编程 敏捷编程
代码 黑盒代码
应用层 应用层网络性能预测
管理多边形 多边形
教育 软件工程人才培养
机器学习算法广泛应用 机器学习算法
关系 多关系异构对象
向量 向量时间戳
方向 模糊化
基础 理论与方法基础
数据 数据仓库架构
表 统一表示
控制 细粒度水冷控制
并行度 指令并行度
区块链优先应用 区块链
应用适应性定义 定义
句法结构 汉语句法结构
芯片 芯片布局
虚拟机监控框架 虚拟机监控
新浪博客 微软共享空间新浪博客
网络带宽 网络带宽布局
机器学习算法 智能机器学习算法
体制 网络体制
信息存储 海量空间信息存储
通常 知识图谱通常
万维网 描述万维网服务
多端网络拓扑关系模型 网络拓扑关系
作战数据 有效优化作战数据
物理系 人类构建工程物理系统
方向 可追溯性
安全 无线局域网安全
网卡 高性能网卡
破解 破解碎片化
移动自组网无线带宽资源 带宽
产业 软件产业强国
完善考核体系 体系
医疗 医疗设备物资管理
关系 关系架构
迁移 迁移行为
修改 修改系统调用
成像 红外夜视成像
反射 反射路径
数字 数字许可证描述
结构化描述 结构化描述数据
模型检测 模型检测状态空间爆炸
算子 算子库
实名 实名制
多机虚拟化 影响多机虚拟化性能
神经形态 数字信号型神经形态计算
人工智能智商评测量表 量表
线程 攻击线程
传感器 传感器信息处理
编译器 高性能编译器
教育 教育型
系统架构 大数据系统架构
危化品 危化品运输车辆
卷积核 卷积核模式化剪枝
算法设计者 称号
量子模拟 量子模拟应用
缓存 缓存替换算法
预测系统性能 分析预测系统性能特征
序列 载体序列
协商 分层协商
用户 用户开放
首次 首次证明
超导量子计算 超导量子计算机能
配置信息 逻辑神经元共享配置信息
区块链数据层 区块链
密码算法 轻量级密码算法
介入 法律介入网络空间
中间件 中间件组件
数据存储共享策略 数据存储
任期 理事长任期
比较 对象比较
电码 记录莫尔斯电码
方向 初始化
测试 性能测试工具
量子 量子并行计算
成员 学术界成员
规划 修复方案规划
引导 标签引导
社会 社会信息网络
通用CPU芯片 高性能通用CPU芯片
模仿人类 构建模仿人类行为
智能操作系统 移动智能操作系统
方向 行为可信性
数据存储 区块链分布式数据存储
人才 芯片人才
动态多线程 线程
异构多核 可重构异构多核微处理器
领域语义 语义
老年人 老年人智能辅助技术研究
公司 日本电气公司
穿戴式设备 穿戴式设备协同工作应用场景
学科 安全信息学
云 云基站
区块链 联盟治理区块链
数据结构 结构性数据结构
方向 对象属性
上市后 电脑上市后
实体 实体计算机
多媒体 多媒体优化
数据 海量观测数据
函数 函数集合
海量 检索海量
张效祥 先驱张效祥
部件 部件搭建
改善 改善城市管理
中国地级市企业信息化服务 地级市
区块链 比特币区块链
词汇 词汇分析
设备互联 设备互联适配层
协议设计 网络协议设计
数据 数据冗余信息
半导体 现代半导体工艺
表 表达信息
大规模 大规模动态虚拟
判断异常模式 异常模式
操作算法 聚集操作算法
会员资格 恢复会员资格
原理 生成原理
参数 参数量
融合 融合高级信息
海量 海量开放
量词 海量词典
算法 并行算法研究进展
监控 监控域
安全 安全性量化
表达产业互联网 互联网
数据结构 计算机数据结构
虚拟场景构建 虚拟场景
线性 线性可扩展
量子 量子催化
光谱数据立方体 充分挖掘光谱数据立方体
合成战术训练系统 战术训练系统
影响 相互关联影响
应用数据流 无线移动应用数据流
安卓 移动领域安卓
过程挖掘 组织过程挖掘培训
安全 WSN安全路由
数据密集型计算应用 数据密集型计算应用范围
描述 美学描述
数据结构 内存数据结构
助手 智能助手
关系数据库 关系数据库基础
自动修复开源软件缺陷管理 开源软件缺陷管理
自动理解网络 自动
模型-视图-控制器 视图
业务应用 业务应用软件
预测在线文本 在线
数据服务器 数据服务器集群
互补 互补的视角
开源细粒度可重构阵列 细粒度可重构阵列
屏蔽 外部网络屏蔽
图计算 图计算性能
受约束 受约束设备
场景语义自动建模 语义
制造企业 复杂产品制造企业信息化
算法 算法团队
语料库 语料库方法
地图 地图服务
测试 道路测试
轨道 姿态轨道控制系统
网站 社交媒体网站
表 表达隐私
有限 有限作用
多媒体 多媒体个性化
智慧医疗 构建智慧医疗体系
学科 分歧科学
广度 广度拓展
课程 计算机课程设置
信息处理基础设施 互联网信息处理基础设施
体系结构 体系结构领域
计算机学科 计算机学科新
云际计算 云际计算环境
处理器 处理器设计实践
图计算 图计算编程框架
成分 领域共性成分
云 点云学习计算框架
建模 多域联合建模方法
运营商 即时通讯运营商
专用架构 专用架构AI加速
金融机构数据 金融
描述参数 情感语义描述参数
电子化 信息电子化
网页 万维网页面
体感 体感行为感知
自动抽取平行句 抽取平行句
移动数据 移动数据存储
理论和方法 基础理论和方法
定性 不确定性移动对象管理
建模 宏观角度建模
基础网络 基础网络设备
能量 社会能量
类型 作用类型
实验 实验文档
网络 网络中间结点
算法 掌纹预处理算法
金融 金融数据分析
方向 智能搜索方向
资产管理 移动资产管理
称号 生产者
世界 世界科研
通用神经元计算 元计算
模型 张量填充模型
方向 服务便捷性
信息化成本 估算信息化成本
视觉 视觉探勘
海量数字资源管理系统 资源管理
模式 仿真应用模式
步数 异步数据调度
软件服务 软件服务系统
密码算法 自带密码算法
工作流 DRM系统工作流程
分成系统 分成
影响 功率模式影响器件
数据同步框架整合 数据
推荐模块 协同推荐推荐模块
直辖市 直辖市疫情风险
光通信 量子光通信
延伸 训练阶段延伸
自治 自治决策
轻量级 轻量级分组密码
单指令 异构单指令
线性 资源线性性能
词性标注 自动词性标注
复制 复制现实
可信软件 可信软件开发方法
语言编程 编程语言编程语言
视频服务 网络视频服务
流程 流程路由设计
机器 机器智脑
样本 驾驶样本
能源 能源利用效率
复杂产品虚拟样机工程标准体系 虚拟样机工程标准体系
志文 志文企业
验证源地址可信 可信
标准化 标准化定义
联合 联合实验系统
游戏控制器 操作游戏控制器
标识 语义内容标识
区块链数字身份 区块链
大学 南京航空航天大学
有序数据 有序数据可视化
回路 嗅觉回路
课程 大学程序设计课程体系
决策 精准防控决策
编程 编程形式
用户 推理技术残障用户
显式表达 显式表达并行程序
众筹系统 众筹
互联网 互联网网页
软件实现 软件实现故障注入
关键词 关键词趋势分析
表 试验表明
生命科学研究院计算生物学研究所研究员 生命
方向 参数化
客户端 客户端内存
上下文 上下文预训练模型
改进 改进采集系统
网络运行 收集网络运行信息
电路 数模混合电路
对称多核芯片 表示对称多核芯片
网页 大规模网页搜索
模拟 模拟海浪
合成器 控制语音合成器
武器 新式武器
填写 结构填写
基准测试程序 收集基准测试程序
调度 调度原语
场景深度 场景深度信息采集
页表 修改页表映射
构建交互式 交互式
模式识别 模式识别领域
群智制造 群智
大数据 组织软件过程大数据
多模态 多模态高分辨率掌纹识别算法
广义 广义超图
挖掘 动态挖掘
商品 制造商品
拓扑动态变化 移动自组网拓扑动态变化
流水线 图形流水线
传感器网络MAC协议 无线传感器网络MAC协议
方法与技术 相关理论方法与技术
服务 文件服务相分离
统一 统一处理
社会网络 社会网络演化
多线程数据 线程
语义 语义恢复
移动自组网 移动自组网无线带宽资源
驾驶数据 自动驾驶数据解决方案
在线 在线演进
算机 计算机模拟人类智能
大规模机器学习 大规模机器学习算法
矩阵 贝叶斯矩阵分解
理论和方法 复杂性科学理论和方法
运算 自主运算
形态 智能形态
充分融合 软件形态充分融合
群体中英文发文 学者群体中英文发文
数据市场采集 数据市场
自动 信息自动转化
对象 应用对象
经济学 经济学家李嘉图
知识推理 深度知识推理
路由信息 路由信息管理监控
图像 盲文图像
倡议 联邦数据中心优化倡议
理解数据 用户理解数据
大学 西北工业大学普适计算研究组
运作 服务系统运作
学科 跨学科研究实验室
数据存储机制 数据存储
现代汉语语法 现代汉语语法词典
混合智能 脑机混合智能
社会科学 社会科学领域
组织 场景组织
语义 多模态城市数据语义计算
方向 可用性
平台 海量存储平台
显示 过度显示
定量 定量比较
产业 新产业周期
资源 资源集合
拓展 海量拓展
建模 虚拟传感器建模
编程框架 图计算编程框架
中心 去中心化决策
标识 标识特性
关键字竞价 关键字竞价策略
磁盘 网络虚拟磁盘
用户 用户指出
互联网搜索引擎技术 搜索引擎技术
参数预测模数据 数据
半导体 硅基半导体电控量子点
知识图谱 知识图谱嵌入
算法容错研究领域比较 算法容错
称号 AI芯片创业者
网络流 网络流量控制
图像 图像语义标注
称号 诺贝尔奖获得者
路由交换设备 路由交换设备安全
隔离 隔离软件
视频数据库 大规模视频数据库
开源 开源形式
建模 复杂三维场景快速建模
计算 网络内容计算
异构存储资源 多层级异构存储资源
路径时间 路径时间图
美国创新 美国创新环境恶化
隐私保护 隐私保护能力
属性 计算属性
云计算基础设施 云计算基础设施建设
高级 高级认知功能
数字取证 数字取证技术研究
构件库 构件库视图
查询 影响查询
代数 共形代数
监督学习 无监督学习
方向 再现性
服务机 培训服务机构
网络 网络犯罪治理
联合撰文 撰文
思维 架构设计思维
资源 资源动态波动
应用程序 应用程序存储
资源空间 资源空间模型
网络 网络文章
进程 进程环境信息
称号 博士学位获得者
课程 本科课程体系
可信 可信设备
服务组合 服务组合技术
测试集 测试集比较
机器人 娱乐机器人
客户 多并发客户
质量 科研成果质量
度数 低精度数据表示
方向元素能量 方向元素能量特征
资源空间 资源空间映射
序列 序列化成XML文件
系统化思维 思维
数学领域 淘汰率
算机 计算机制造商
生成图像 生成图
资料 隐私资料
内涵 轻内涵质量评价
上下文感知多媒体推荐模型 多媒体推荐模型
媒体对象 多媒体对象
网络 每层网络
数据挖掘 安全海量数据挖掘显示
高性能计算 高性能计算集群
智能制造 智能制造网络
加密流程 文件加密流程
服务 合成服务
通信 通信设施
大数据处理 大数据处理综合实验
释放器 气味释放器
消除 动态消除
基础设施 基础设施模块定义
数据高速缓存 数据
分层防御 分层防御系统
地理信息系统 地理信息系统存储系统原型
通信 通信加密
计算模型 计算模型显示
网络社会 网络社会构建
管理器 自治管理器
政策制定者 称号
网络黑灰产 网络黑灰产犯罪研究
实验 性能评估实验
方向 数据源不确定性
协同 协同硬件架构
信息 嵌入信息
收集信息 传感器收集信息
资源 硬件资源结构
体系结构 轻量体系结构
技术创新 软件技术创新
搜索 搜索视频
历史 历史积累
情境感知服务 情境感知服务定义
收集 团队收集
授权卷 授权卷映射
心理测量方法 心理
系统开发平台 虚拟现实系统开发平台
机构 物质机构
数据线 数据线团
方向 数据多态性
应用数据 应用数据规模
信息功能器件 功能器件
诊断 分析诊断
控制技术 用户控制技术
运行 运行远程
概率 概率生成式模型
组织 组织建模仿真服务资源
研究所 中国科学院计算技术研究所中国计算机学会
影响数据 影响数据汇聚路由
算法 编写算法
信息安全 信息安全产品技术转型
应用程序 启动应用程序
测试 测试产业
角度 网络总体角度
节点连接 多节点连接
网络用户行为 社会网络用户行为分析
模型 式软件演化模型
敏捷化 敏捷化架构设计
位置 中心位置
计算性能 中国高性能计算性能
时间 时间有效收益
网关信息 表示网关信息
移动互联网 云计算平台移动互联网
试验 试验数据采集
能力 高阶认知能力
核心数据库 核心数据库引擎领域
任务调度 协同任务调度控制
软硬件知识 人工智能软硬件知识
表 差异表达基因基础
局部服务 表局部服务
投票 本轮投票
成果 突破性成果
图像 结构化图像
服务 服务中继
效率影响模型 效率影响模型研究
调研 跟踪调研
收敛 收敛类型
数据 监督数据
领域 社交领域
线或 线或无线
对象适配器 适配器
轻量级操作系统 集成轻量级操作系统
图神经网络框架 图神经网络
存储介质 新型非易失性存储介质
分层 分层树
流程 流程梳理
关系 空间位置关系
中国科学院心理研究所陈文锋 心理
方向 方向扩展
量化 结束条件量化
方向 代表性
时要 AI加速器时要
交易 现货交易市场
方向 用户异构性
电机 电机电器化传动装置
口语化 口语化特征
数据 一条条数据汇聚
安全 维持海上安全
协议 许可证协议
称号 竞赛领跑者
盲文图像采集噪声 噪声
数据 数据量
线程级并行 线程级并行结构
大数据挖掘 大数据
数据科学领域研究者 称号
盖尔 自从盖尔
交互式 虚拟环境交互式体验系统
模型 软件协同模型
分析方法 软件可信分析方法
学科 新制度经济学
量子比特 量子比特读取
数字化 城市数字化
密码分析 去器密码分析
重点 笔者重点
体感输入 体感输入与输出
量表 人工智能智商评测量表
国籍 获奖者国籍
科研 科研生活
人脸识别领域现实应用 识别领域
医疗诊断 神经网络辅助医疗诊断
类型 快照类型
中用 系统中用
计算机视觉 参照计算机视觉
安全 数据安全和隐私
线性 多重线性分析
数据中心运营商 数据
处理 制作处理
可信计算 可信计算平台密码技术
方向 绝对稳定性
推广应用 大规模推广应用
标准 引导世界标准
本地安装软件 本地
集成异构部件 异构部件
云平台 云平台监控
用户群智协同编辑行为 群智协同编辑行为
迁移 中心迁移
多传感器 多传感器融合方法
处理器 处理器执行程序
终端 大规模终端用户
在线迭代 迭代
缓存能力开放 缓存能力
数值精度 基础数值精度
索引数据 加密索引数据结构
放宽 放宽眼界
买卖 无线数据买卖
微软亚洲研究院常务副院长王坚 微软亚洲研究院常务副院长王坚博士
绘制 光栅化绘制
方向 宽容性
社会网络 分析研究社会网络
分配算法 频谱分配算法
改善 改善纹理映射
高昂 学习成本高昂
分布 分布运行
经济 经济技术综合实力
平台 编译平台
计算技术 超导计算技术
人工智能 人工智能比较
理论和方法 创新理论和方法
智能技术 智能技术趋势
社会文化 社会文化建模与分析
自动扫描 机器人平台实现场景自动扫描
软件定义网络数据平面可编程性资源抽象 软件定义网络
函数 Hash函数
时间 周期性时间
算机 计算机虚拟设计
式内存 式内存模式
访问控制 表示访问控制策略
传感器 身份识别传感器
表 表征行为
学科 热爱科学
方向 场合管理敏捷性
网络构件 开源网络构件
芬兰 芬兰科年
端智能技术 移动端联合学习为端智能技术
文本挖掘 验从文本挖掘
发文分数 英文发文分数
影响程序委员会 影响程序
资源 资源动态调度
学科 观察科学
应用程序 应用程序性能
信息系统 企业信息系统构建
方向 政府应用性
称号 服务产品提供者
系统架构 安全系统架构
密钥生成 会话密钥生成协议
云际计算 软件定义云际计算
方向 保证系统一致性
方向 时间衰减性
学校 供学校开展研究
试图 试图自动
光谱成像流程 流程
监督 无监督机器翻译
逻辑实现 可重构逻辑实现
并行计算 大规模数据并行计算
方向 多目标性
加速器协同搜索 协同搜索
计算机领域 计算机领域中英文发文对比分析
服务系统设计 服务系统设计框架
速度 处理器速度
物理设备 物理设备网络
空间几何加速结构 几何加速结构
体系结构 体系结构计算机
组网技术 物联网通信组网技术
人才 处理器芯片设计人才
参数 输出输入参数
方向 评审公正性
人工智能领域 人工智能领域演化规律
虚拟机监控器 虚拟机监控器安全
多模态 多模态信息联合描述用户
挖掘全程数字化 数字化
大数据 大数据挖掘
中国计算机 中国计算机科研
约束 约束原子动作
论文 领域期刊论文
数据处理领域 数据
结构化异构数据 结构化异构数据集
数学领域 成熟度
基因数据安全 数据
传感器 微型传感器
多节点 多节点观看效果显著改善
系统结构 安全系统结构
实例 基于实例的机器翻译
理智 人类理智
中国计算机 中国计算机工厂厂长顾群
轻松 公共信息轻松
测试 基准测试查询
神经网络 神经网络拓扑
网络边缘 网络边缘侧
相匹配 特性相匹配
协同进度可信 可信
状态 状态公理
边界网关协议路由域 边界网关协议路由域交互路由信息
预训练模型 单模态预训练模型
语义 语义物体
数字信道器 信道
数据 理解原始数据
大规模 大规模用户
情境感知引擎 保存情境感知引擎
车辆 车辆行驶状态
企业数据中心保存 数据
代码 软件源代码溯源分析
实时 实时对话
软硬件 软硬件通信协议
互联网 高度重视卫星互联网
构建安全可信网络 路由交换范式构建安全可信网络
研究人员 文化遗产研究人员
单指令多线程 线程
管理系统 智慧交通管理系统
知识库 知识库问答
服务资产管理 服务资产
方向 兼具扩展性
金融智能 金融智能模型
光谱探测 高光谱探测和识别
集成式CPU芯片 单线程集成式CPU芯片实现技术
人脑规模 人脑规模神经系统
网络终端流量数据 网络终端
规则库 汉语短语结构规则库
国产操作系统厂家 称号
仿真 自动仿真
学科 计算成像学
文物知识图谱 文物知识图谱定义
竞价 频谱竞价算法
系统设计 嵌入式系统设计
预测 决策预测
软件 隔离软件
不同类型聚类分析算法 不同类型
描述 系统描述
会议 会员代表大会选举
大数据发展趋势预测 大数据发展趋势
历史环境监测数据 数据
低功耗 低功耗特性
系统仿真 系统仿真工具
查询语言 SPARQL查询语言
版本 多版本
算机 计算机职业病
算法 矩阵聚类算法
分类识别 高光谱图像分类识别技术
胶体量子点光谱仪 量子
数据分区 安卓手机数据分区
改善 改善学习环境
分布图 学部分布图
信息自动转化 转化
语义 语义矢量组织管理
积极探索 积极探索新
车辆 限制车辆
交换机 交叉点缓存交换机
表 表示化合物
软件 软件市场竞争
度量 度量嵌入
矩阵 噪声自适应迭代低秩矩阵近似模型
AI模型 深度学习AI模型
收敛类型 类型
智能体 智能体赋予
量子 量子操作参数估计
编码 流媒体编码
协同设计 航天飞行器虚拟样机协同设计仿真系统
识别 实时感知识别社会
生物信息 生物信息应用程序
教育 青少年网络安全教育工程
联网络 可信互联网络
终端 客户终端处理能力
在线轨迹搜索组件 轨迹搜索
测试 测试结果表明
软件 强化软件
在线游戏 在线游戏支撑平台
搭建科研基准平台 基准
体积 传感器节点体积小
表 传感器电极表面
电子期刊 电子期刊网
图像 虚拟人脸表情图像
协调 协调劳动力
模型 模型检索
网络空间 积极应对网络空间
行为图描述构成系统 行为图
客户端 客户端语言
构建 分布式文件系统构建面向用户
实名 实名制
现实系统 虚拟现实系统开发方法
加速框架 移动加速框架
运算复杂度 运算
链式 学习链式
权利 权利许可
超级计算机 超级计算机设施
插值 插值攻击
计算世界 计算世界分离
信息搜索 位置信息搜索
试验 试验场
联合 团队联合
控制器局域网 控制器局域网智能网关装置
涌现 群智涌现机理
调查对象 调查对象统计
规模 服务规模
识别用户肢体动作 用户肢体动作
解析度地理数据 数据
合成 合成实验
生成媒体 生成媒体对象网络
量子密码技术产业化 量子密码
引擎 学术搜索引擎
教育 研究生教育制度
查询 系统响应查询
硬件平台 通用硬件平台
处理系统 神经信息处理系统
算机 计算机博物馆
公司 存储公司
采样 采样记录
算机 计算机表体系结构
安全 安全运算
图模型 层次图模型
字形 字形系统
体系 综合化体系
映射 样本映射
分析预测 性能分析预测模型
称号 计算机研究者
多媒体技术 多媒体技术服务
度数 粗粒度数据
指出 里希纳指出
大规模动态用户 大规模
万维网 分析万维网
企业 企业实习实训
软件方法学框架 框架
数据管理 大规模数据管理
类脑 类脑模拟
语义 跨媒体语义理解
技术创新趋势 技术创新趋势举例
一致性协议 缓存一致性协议
量化 标准定量化
数字签名算法设计与分析 数字签名算法设计
隐私泄漏 数据隐私泄漏
交通 共享出行用户体验交通
仿真 自动仿真
工程师 计算机工程师
仿真 船舶识别仿真
对密钥 对密钥初始化
语言 平台无关语言
服务模式 服务模式转型
静态传感设施 传感
深度学习平台 国产深度学习平台
应用软件 汽车应用软件
算机 计算机利用人体
病情 病人病情
接口 指导性接口
告警 告警构建知识
深度对话 深度对话模型
联合学习 多任务联合学习
轻量级虚拟机 轻量级虚拟机技术
方向 表达连续性
国产基础软件厂商 基础软件厂商
教育 课外活动培养创新能力
多维 多维树
机构 研究机构成果
计算集群 分布式计算集群
隔离 用户隔离
数据分析 大数据分析领域
机器学习 鉴于机器学习
软件演化 式软件演化模型
方向 关系完备性
生命 深度学习模型全生命周期
融合 架构融合
引力波数据处理流水线 流水线
寄存器 寄存器分配算法
学业 国学学业业可业
状态 观测状态
编码器 神经编码器
英特尔通用处理器 通用处理
基础设施 密钥基础设施
参数 生成参数
AI AI开源
法国 法国科学家奥古斯
本地 本地理智
工程 数据质量工程实践
硬件基础 硬件基础平台
网络 温度采集网络
线性 线性射频Paul阱
联合 联合撰文
物理 物理接口
数据 软件数据
实验演示 演示
信息系统 信息系统研究所工程师
虚拟机 虚拟机隔离
自动检测 文本自动检测
业务数据 业务数据模型
微软雷德 雷德
数学领域 完整度
电子病历 学习电子病历概念表示
安全 模块化安全密码学协议
充分 研究比较充分
实验基础 计算机系统实验基础
线性 分段线性反馈策略
俄亥俄州立大学 美国俄亥俄州立大学
代码 目标代码文件
用户 用户无国界
向量 位移向量
区块链 区块链安全
仿真器 仿真器平台
缓存 缓存设计
管控 高效管控
几何 几何体
简单图 简单图模式
麻省理工学院 受控信息共享麻省理工学院
感知增强混合智能 增强
表 表示评论总数
称号 专业教育负责人
键值 索引键值查询
本地 本地安装软件
文字 线形文字
残余数据 残余
知识图谱数据管理 知识图谱数据管理方法
运行状态数据 数据
数据集合 感知数据集合
麻省理工学院 受控信息共享麻省理工学院
应用数据 应用数据科学论文
主成分分析 主成分分析法
树结构 脉络树结构表征
大规模 大规模第一原理计算
社会化 搭建可追溯社会化
算机 计算机应用系统
学科 学科前沿研究成果
数据增强 数据增强技术
结构 领结结构
大数据 疫情防控大数据
中英文发文 群体中英文发文
图形加速器 现代图形加速器
数据抽取 结构化数据抽取
安全 中国网络空间安全
集中式 集中式主机
模块 座椅模块
式处理 多核嵌入式处理器设计技术
监测 监测设备位置
程序运行性能 性能
线性函数 合成线性函数
多尺度 多尺度条件
路由器 虚拟路由器
服务质量 互联网服务质量
端口信息 端口
监视统计 监视统计模块负责监视
嵌入式实时操作系统 高性能嵌入式实时操作系统
操作系统 操作系统屏蔽
群体舆情感知 群体
体系结构框架 硬件体系结构框架
修改 在线修改
方向 可访问性
老年人 老年人活动识别
数据链路协议 链路
方向 软件可用性
装置 创新实验装置
片上网络 缓存一致性片上网络
应用 业务服务搭建应用
攻击 攻击类型动态
密码 对称式密码
服务器整合 服务器整合虚拟电源管理
分布 地理位置分布
对话系统 对话系统服务平台
密集型应用 计算密集型应用程序
会员总数 企业会员总数
